x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime,,,,,diff
533,607,Eng2_04F-02:-65,Eng2_03F-04:-72,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272170,,1,,"[583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-72,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272172,,1,," 583,",0
0,0,Eng2_04F-02:-65,Eng2_03F-04:-72,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272174,,1,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272176,,1,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272178,,11,," 583,",0
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272180,,11,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272182,,31,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272184,,31,," 583,",0
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272186,,38,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272188,,38,," 583,",0
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272190,,38,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272192,,38,," 583,",0
533,607,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272194,,38,," 583,",0
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272196,,38,," 583,",3.039
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272198,,38,," 586,",6.078
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272200,,38,," 589,",6.078
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5,1575272202,,38,," 592,",3.039
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_03F-02:-78,Eng2_04F-01:-75,5,1575272204,,38,," 596,",1.013
0,0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_03F-02:-78,Eng2_04F-01:-75,5,1575272206,,38,," 598,",2.026
0,0,Eng2_04F-02:-65,Eng2_03F-04:-67,Eng2_03F-02:-78,Eng2_04F-01:-75,5,1575272208,,38,," 602,",0
1212,607,Eng2_04F-02:-65,Eng2_02F_A04:-74,Eng2_03F-04:-61,Eng2_03F-02:-78,5,1575272210,,38,," 604,",0
0,0,Eng2_04F-02:-65,Eng2_02F_A03:-85,Eng2_02F_A04:-72,Eng2_03F-04:-67,5,1575272212,,38,," 861,",0
0,0,Eng2_04F-02:-65,Eng2_02F_A03:-85,Eng2_02F_A04:-72,Eng2_03F-04:-67,5,1575272214,,38,," 1013,",3.06
1212,303,Eng2_04F-02:-65,Eng2_02F_A03:-85,Eng2_02F_A04:-80,Eng2_03F-04:-77,5,1575272216,,38,," 1167,",1.02
0,0,Eng2_04F-02:-60,Eng2_02F_A03:-85,Eng2_02F_A04:-80,Eng2_03F-04:-77,5,1575272218,,38,," 1171,",0
0,0,Eng2_04F-02:-60,Eng2_02F_A03:-81,Eng2_02F_A04:-80,Eng2_03F-04:-78,5,1575272220,,38,," 1175,",0
0,0,Eng2_04F-02:-60,Eng2_02F_A03:-81,Eng2_02F_A04:-80,Eng2_03F-04:-78,5,1575272222,,38,," 1178,",0
0,0,Eng2_04F-02:-60,Eng2_02F_A03:-80,Eng2_02F_A04:-80,Eng2_03F-04:-78,5,1575272224,,38,," 1181,",1.02
1721,303,Eng2_04F-02:-60,Eng2_02F_A03:-80,Eng2_02F_A04:-80,Eng2_03F-04:-78,5,1575272226,,38,, 1181],3.464
,,,,,,,,,38,,,
,,,,,,,,,38,,,
,,,,,,,,,38,,,
,,,,,,,,,10,,,
,,,,,,,,,10,,,
,,,,,,,,,20,,,
,,,,,,,,,20,,,
,,,,,,,,,8,,,
,,,,,,,,,8,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,21,,,
,,,,,,,,,21,,,
,,,,,,,,,9,,,
,,,,,,,,,9,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,15,,,
,,,,,,,,,15,,,
,,,,,,,,,23,,,
,,,,,,,,,23,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
,,,,,,,,,7,,,
